"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"RTN4",13,-1.37805370530092,-0.382203330369664,-0.462047387326205,1.29231729629569,4,9,0.692307692307692,0.168186707409662
"SNX5",9,-1.37982721612466,-0.459942405374886,-3.93335726868471,1.04786088669693,3,6,0.666666666666667,0.167639850735945
"RGS5",4,-1.38344508709942,-0.691722543549712,-0.917158212682787,1.38165899844563,1,3,0.75,0.166528433889465
"SRSF3",12,-1.38818642368991,-0.400734902701378,-3.44021146012036,0.973463954988911,3,9,0.75,0.165080285260982
"SRRT",9,-1.38840993137894,-0.462803310459648,-2.41546511928677,1.33414455776512,2,7,0.777777777777778,0.165012253916265
"ILF2",11,-1.38886652220308,-0.418759012548492,-3.54723035676602,1.24752071730158,4,7,0.636363636363636,0.16487334225081
"CLSTN1",12,-1.3890955376673,-0.400997341301161,-0.455342362183399,1.06888154292409,3,9,0.75,0.164803700515753
"LGALS3",13,-1.3897713873559,-0.385453230637262,-2.92805216944778,1.01695370636534,2,11,0.846153846153846,0.164598309267379
"PSMA4",11,-1.39035991079835,-0.419209286151831,-1.07450146240877,0.693986668291988,3,8,0.727272727272727,0.164419613601796
"ZMYND11",7,-1.39397532609084,-0.526873149513789,-0.800268325860468,0.912763302270249,2,5,0.714285714285714,0.163325055689441
"TBCA",8,-1.39628770868334,-0.493662253648708,-5.05890663547122,1.35433525499146,3,5,0.625,0.162627873630644
"MAN1A2",3,-1.39650214056039,-0.806270886776431,-4.99607807981916,1.18067009893638,0,3,1,0.162563336459485
"ZSWIM8",3,-1.39656692915903,-0.806308292491296,-16.2016002715206,0.885016992760379,0,3,1,0.162543840954314
"BECN1",6,-1.40058264120671,-0.571785468926002,-3.04842762711539,1.31578019440929,3,3,0.5,0.16133891483489
"TIMMDC1",10,-1.4009047344844,-0.443004974588412,-2.32221545326594,0.64112826209187,2,8,0.8,0.161242562811232
"RPA1",5,-1.40109803266511,-0.626590088836083,-3.32130611088998,1.21452252530602,1,4,0.8,0.161184759839701
"THOC2",5,-1.40412042287475,-0.627941742828738,-2.83648359306021,0.701077784171479,1,4,0.8,0.160282993039663
"CCDC115",4,-1.40488498440468,-0.702442492202341,-2.97945856032111,1.36725179163098,1,3,0.75,0.160055482343178
"EIF3B",13,-1.40500666068102,-0.389678735188759,-0.907880049376301,0.954257853481935,4,9,0.692307692307692,0.160019297645578
"BTBD2",12,-1.40509659500978,-0.40561644868316,-2.18220216086905,1.13285631800977,4,8,0.666666666666667,0.159992556502124
"ELOB",10,-1.40608345784532,-0.444642630707656,-0.308482019086725,0.936481326838156,3,7,0.7,0.1596993438607
"AMFR",7,-1.40775827234055,-0.532082613529576,-3.71686175091963,0.522507060630374,2,5,0.714285714285714,0.159202660217553
"RABGGTB",4,-1.4087304462559,-0.704365223127951,-4.36794946157594,0.797545616869453,1,3,0.75,0.158914888559396
