dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.1,Malignant,covariate,2509,628,628,-0.5071271389183498,0.8071403414765064,0.24966891593617963,0.5906359516752403,0.3409670357390607,1.3719918248482195
denisenko_2022,SP8,denisenko_2022__SP8,0.1,total_counts,covariate,2509,628,628,-0.5071271389183498,0.8071403414765064,5233.4619140625,14056.5625,8823.1005859375,1.1959415114440002
denisenko_2022,SP8,denisenko_2022__SP8,0.1,n_genes_by_counts,covariate,2509,628,628,-0.5071271389183498,0.8071403414765064,2239.6624203821657,4255.5621019108285,2015.8996815286628,1.4022984281520188
denisenko_2022,SP8,denisenko_2022__SP8,0.1,pct_counts_mt,covariate,2509,628,628,-0.5071271389183498,0.8071403414765064,7.189680099487305,4.961462020874023,-2.2282180786132812,-0.9384066695461962
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ADIPOGENESIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.18795682375633962,-0.16536528971148798,-0.3533221134678276,-0.3399068231091517
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ALLOGRAFT_REJECTION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.18671892483780736,-0.01385047556234226,0.1728684492754651,0.17656937362783326
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ANDROGEN_RESPONSE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.0876956480596791,0.8158268714964552,0.9035225195561343,1.0056418595582157
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ANGIOGENESIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.07909163785601551,0.12962768574855402,0.0505360478925385,0.05066908788022562
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_APICAL_JUNCTION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.10700725338120727,-0.09894779290972062,-0.2059550462909279,-0.2093845509084618
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_APICAL_SURFACE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.11042694341232279,-0.2745545701503915,-0.38498151356271426,-0.40539431452162655
