cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Neutrophil,-0.1563409826078282,8.352224613221596e-10,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Unidentifiable,0.03462251070445,0.1765837449230767,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Malignant,0.4015001701787181,4.724078539348951e-45,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
CAF,-0.2907500188530307,1.796905534139369e-23,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Endothelial,-0.2455918926040907,5.344412771777743e-17,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Plasma,-0.4379197890094026,3.426514052995981e-54,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
B cell,-0.0797025996234903,0.007324276671866,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
T CD4,-0.0647836636288601,0.0293631433050025,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
T CD8,0.033052271196347,0.2667261194366915,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
NK,0.0044050817983475,0.8823575129891282,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
cDC,-0.0201188734935474,0.4990883520791918,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
pDC,-0.3256446337039529,2.3846237979749337e-29,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Macrophage,-0.3015134112202176,3.356794927173021e-25,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Mast,-0.0553356296182025,0.0628397149557006,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Neutrophil,-0.1742355391330977,3.6728134599165246e-09,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Unidentifiable,-0.3191431654277992,3.411803889164049e-28,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Malignant,0.2436389262311561,1.926321673621187e-28,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
CAF,-0.0954773584293421,1.876319355702428e-05,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Endothelial,-0.0774438259341698,0.0005240161529702,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Plasma,-0.02953325791563,0.1865378877645257,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
B cell,-0.0479843768915232,0.0318016388366923,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
T CD4,-0.0704688100396633,0.0016050375048875,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
T CD8,-0.1394837234007104,3.662218197923237e-10,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
NK,-0.0838699217532952,0.0001720114773894,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
cDC,-0.0559001928769727,0.0123641807666727,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
pDC,-0.0830337916044145,0.0001997408900716,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Macrophage,-0.241236397445649,6.706214471126577e-28,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Mast,-0.048766056535572,0.0291161811964704,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Neutrophil,-0.0715565279332581,0.001356206799744,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Unidentifiable,-0.1080373432799345,1.2650952635731743e-06,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Malignant,0.3630044694020633,1.8749889280661611e-44,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
CAF,-0.3709205757617956,1.7557964898373947e-46,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Endothelial,-0.0589839289848323,0.0280463063063402,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Plasma,0.0475280953038516,0.0768160126469254,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
B cell,-0.0614449729230474,0.0221107118190033,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
T CD4,-0.0216673175093252,0.4200635041194565,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
T CD8,-0.0387129173772241,0.1495835169163337,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
NK,-0.0562647000884249,0.0361527005948211,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
