dataset,sample,balance,spearman_r
ju_2024,CPS_OV24RTOV4,b5,-0.18955949164855374
ju_2024,CPS_OV24RTOV4,b6,0.002125822441379774
ju_2024,CPS_OV24RTOV4,b7,0.023787127243093172
ju_2024,CPS_OV24RTOV4,b8,-0.1289475999804925
ju_2024,CPS_OV24RTOV4,b9,0.22552324338059446
ju_2024,CPS_OV24RTOV4,b10,0.020703747926639836
ju_2024,CPS_OV24RTOV4,b11,-0.04250203453978318
ju_2024,CPS_OV24RTOV4,b12,0.018881086167891793
ju_2024,CPS_OV34RtOV1,b1,0.14447751640002526
ju_2024,CPS_OV34RtOV1,b2,-0.19153799087141998
ju_2024,CPS_OV34RtOV1,b3,-0.14789660293508367
ju_2024,CPS_OV34RtOV1,b4,0.08337802691652384
ju_2024,CPS_OV34RtOV1,b5,-0.17699823741041565
ju_2024,CPS_OV34RtOV1,b6,-0.1449314403242446
ju_2024,CPS_OV34RtOV1,b7,0.007345320012166041
ju_2024,CPS_OV34RtOV1,b8,-0.020332150313022986
ju_2024,CPS_OV34RtOV1,b9,0.10825075863254562
ju_2024,CPS_OV34RtOV1,b10,-0.002727734447266743
ju_2024,CPS_OV34RtOV1,b11,0.009521243434415714
ju_2024,CPS_OV34RtOV1,b12,0.14070711367836602
ju_2024,CPS_OV5LtOV4,b1,0.20563504240331743
ju_2024,CPS_OV5LtOV4,b2,-0.08596354695281219
ju_2024,CPS_OV5LtOV4,b3,0.006624147787657456
ju_2024,CPS_OV5LtOV4,b4,-0.10769341394102286
ju_2024,CPS_OV5LtOV4,b5,-0.10694655195354415
ju_2024,CPS_OV5LtOV4,b6,-0.07732758963303428
ju_2024,CPS_OV5LtOV4,b7,0.03952872416084909
ju_2024,CPS_OV5LtOV4,b8,0.14330288315117912
ju_2024,CPS_OV5LtOV4,b9,0.18827776480025857
ju_2024,CPS_OV5LtOV4,b10,-0.024414553782596663
ju_2024,CPS_OV5LtOV4,b11,-0.06449134855100684
ju_2024,CPS_OV5LtOV4,b12,0.027963990854384897
ju_2024,CPS_OV71_1,b1,0.21413858823548249
ju_2024,CPS_OV71_1,b2,-0.10024712008679278
ju_2024,CPS_OV71_1,b3,-0.10426700081770103
ju_2024,CPS_OV71_1,b4,-0.07245062008362611
ju_2024,CPS_OV71_1,b5,0.021135120093931915
ju_2024,CPS_OV71_1,b6,-0.05590396913245233
ju_2024,CPS_OV71_1,b7,-0.02462237533931513
ju_2024,CPS_OV71_1,b8,0.08630704383892635
ju_2024,CPS_OV71_1,b9,0.07442789567744709
ju_2024,CPS_OV71_1,b10,-0.0543902953570939
ju_2024,CPS_OV71_1,b11,-0.07423300385229567
ju_2024,CPS_OV71_1,b12,0.051674952406590445
