dataset,sample,variable,crs_numeric,high_group_mean_across_thresholds,high_minus_low_mean_across_thresholds,n_thresholds
denisenko_2022,SP4,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,2.0,-0.39587279823589655,-0.31111753554415655,5
denisenko_2022,SP4,HALLMARK_COAGULATION_score,2.0,0.12320382559089164,0.17394149276399007,5
denisenko_2022,SP4,HALLMARK_COMPLEMENT_score,2.0,-0.13394135370445398,0.0667265280461018,5
denisenko_2022,SP4,HALLMARK_DNA_REPAIR_score,2.0,-0.3080320962845108,-0.2703390718408957,5
denisenko_2022,SP4,HALLMARK_E2F_TARGETS_score,2.0,0.07537063454161276,-0.0682383509129003,5
denisenko_2022,SP4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_score,2.0,-0.1331779732956901,-0.03015308993020462,5
denisenko_2022,SP4,HALLMARK_ESTROGEN_RESPONSE_EARLY_score,2.0,0.21913490472717018,0.2054426612325786,5
denisenko_2022,SP4,HALLMARK_ESTROGEN_RESPONSE_LATE_score,2.0,-0.2990933192104931,-0.13022097817228911,5
denisenko_2022,SP4,HALLMARK_FATTY_ACID_METABOLISM_score,2.0,-0.2652118468189634,-0.06715682012563809,5
denisenko_2022,SP4,HALLMARK_G2M_CHECKPOINT_score,2.0,-0.21603917174661436,0.05309130123287289,5
denisenko_2022,SP4,HALLMARK_GLYCOLYSIS_score,2.0,-0.26588687545157735,0.07236196117321317,5
denisenko_2022,SP4,HALLMARK_HEDGEHOG_SIGNALING_score,2.0,0.01201542524756144,0.01531359243517788,5
denisenko_2022,SP4,HALLMARK_HEME_METABOLISM_score,2.0,0.40840289992216394,0.2844246380630803,5
denisenko_2022,SP4,HALLMARK_HYPOXIA_score,2.0,-0.20590955781318598,0.11911956503982271,5
denisenko_2022,SP4,HALLMARK_IL2_STAT5_SIGNALING_score,2.0,0.10105561179541445,0.22613446184071018,5
denisenko_2022,SP4,HALLMARK_IL6_JAK_STAT3_SIGNALING_score,2.0,-0.1428226779054024,-0.20712041490609398,5
denisenko_2022,SP4,HALLMARK_INFLAMMATORY_RESPONSE_score,2.0,0.42027746795960075,0.29243185483165,5
denisenko_2022,SP4,HALLMARK_INTERFERON_ALPHA_RESPONSE_score,2.0,-0.3008536620880058,-0.10438744411474946,5
denisenko_2022,SP4,HALLMARK_INTERFERON_GAMMA_RESPONSE_score,2.0,-0.45607743231987896,-0.3099738599398063,5
denisenko_2022,SP4,HALLMARK_KRAS_SIGNALING_DN_score,2.0,0.5782026668536706,0.4416150496294162,5
denisenko_2022,SP4,HALLMARK_KRAS_SIGNALING_UP_score,2.0,0.11476442116068734,0.005320346264168971,5
denisenko_2022,SP4,HALLMARK_MITOTIC_SPINDLE_score,2.0,0.17438893755822654,-0.051273267219804394,5
denisenko_2022,SP4,HALLMARK_MTORC1_SIGNALING_score,2.0,0.6516623370455659,0.443988197691591,5
denisenko_2022,SP4,HALLMARK_MYC_TARGETS_V1_score,2.0,0.5074247496990602,0.4964363789380739,5
denisenko_2022,SP4,HALLMARK_MYC_TARGETS_V2_score,2.0,0.3169417009137633,0.21656272368554505,5
denisenko_2022,SP4,HALLMARK_MYOGENESIS_score,2.0,0.11599411198609763,0.21670221567904244,5
denisenko_2022,SP4,HALLMARK_NOTCH_SIGNALING_score,2.0,0.14400983838170506,-0.06595352729037249,5
denisenko_2022,SP4,HALLMARK_OXIDATIVE_PHOSPHORYLATION_score,2.0,0.2982027283936999,0.19144851447605016,5
denisenko_2022,SP4,HALLMARK_P53_PATHWAY_score,2.0,0.4613527983077839,0.07107231523555455,5
denisenko_2022,SP4,HALLMARK_PANCREAS_BETA_CELLS_score,2.0,-0.43784544237362466,-0.3143345809056405,5
denisenko_2022,SP4,HALLMARK_PEROXISOME_score,2.0,-0.5176484852417185,-0.35796918406634903,5
denisenko_2022,SP4,HALLMARK_PI3K_AKT_MTOR_SIGNALING_score,2.0,-0.6503697243038343,-0.38640492946730953,5
denisenko_2022,SP4,HALLMARK_PROTEIN_SECRETION_score,2.0,0.5329498066419818,0.3120113804324077,5
denisenko_2022,SP4,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_score,2.0,0.1692821410064166,-0.028777060837136166,5
denisenko_2022,SP4,HALLMARK_SPERMATOGENESIS_score,2.0,1.0133044559918756,0.7726176648170058,5
denisenko_2022,SP4,HALLMARK_TGF_BETA_SIGNALING_score,2.0,0.18905229618074557,0.14296547485364908,5
denisenko_2022,SP4,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,2.0,-0.13148274694514167,0.03855315505513386,5
denisenko_2022,SP4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,2.0,-0.1619560830618843,-0.035061451258797394,5
denisenko_2022,SP4,HALLMARK_UV_RESPONSE_DN_score,2.0,-0.010681500909899439,0.02457738547891022,5
denisenko_2022,SP4,HALLMARK_UV_RESPONSE_UP_score,2.0,-0.7291649516657278,-0.5317005631021762,5
denisenko_2022,SP4,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,2.0,0.03506812710136088,0.11130721475788685,5
denisenko_2022,SP4,HALLMARK_XENOBIOTIC_METABOLISM_score,2.0,0.4934197120421193,0.32083799795016676,5
denisenko_2022,SP5,HALLMARK_ADIPOGENESIS_score,3.0,-0.6066426858232771,-0.4866794176919441,5
denisenko_2022,SP5,HALLMARK_ALLOGRAFT_REJECTION_score,3.0,0.02412039975554476,0.5334253755310382,5
denisenko_2022,SP5,HALLMARK_ANDROGEN_RESPONSE_score,3.0,-0.22618299581102547,0.15535204913976047,5
denisenko_2022,SP5,HALLMARK_ANGIOGENESIS_score,3.0,-0.8071103923873931,-0.9686243068919218,5
denisenko_2022,SP5,HALLMARK_APICAL_JUNCTION_score,3.0,-1.3541140575353867,-1.1214555496009566,5
denisenko_2022,SP5,HALLMARK_APICAL_SURFACE_score,3.0,0.5274669358166263,0.68710959219543,5
denisenko_2022,SP5,HALLMARK_APOPTOSIS_score,3.0,0.5664932836864525,0.5101038675518281,5
denisenko_2022,SP5,HALLMARK_BILE_ACID_METABOLISM_score,3.0,-0.6872552088189956,-0.8384042233697677,5
