dataset,sample,sample_label,balance,balance_label,malignant_threshold,low_mean,high_mean,high_minus_low
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.7,8.989160148196692,8.429084989284577,-0.5600751589121149
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.7,7.733480157248738,8.505995695459104,0.7725155382103663
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.7,7.629927542882752,7.571360512691488,-0.058567030191264635
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.7,9.25928410843506,9.13842565959043,-0.12085844884462915
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.7,8.304748858346054,7.802468401584535,-0.5022804567615191
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.7,8.934410326218108,9.3755748060897,0.4411644798715919
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.7,9.622709651341124,8.650090433485415,-0.9726192178557085
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.7,8.394520349748426,8.742311535210908,0.3477911854624818
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.7,8.32909390757806,8.268425226170576,-0.06066868140748305
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.7,8.871452911928733,8.500561346511956,-0.3708915654167768
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.8,8.388439031024122,8.162000743225997,-0.2264382877981248
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.8,9.035457289336268,8.43968071442498,-0.5957765749112873
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.8,7.986904998237757,7.794518848697525,-0.1923861495402326
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.8,8.522791353434714,7.467129884140973,-1.0556614692937414
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.8,7.217575049983528,7.742597837604463,0.5250227876209355
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.8,9.639010034928306,6.8997904349176284,-2.739219600010678
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.8,9.3330527075966,8.663927801417254,-0.6691249061793467
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.8,8.57697328751915,6.845317776839984,-1.7316555106791665
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.8,9.35437789908907,8.282698066831529,-1.0716798322575407
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.8,8.816667137220813,8.746591211227198,-0.07007592599361523
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.8,9.239056280981748,9.614064708430398,0.37500842744865004
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.8,9.529630753819864,8.473226153938672,-1.0564045998811924
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.8,9.763429928348904,9.372706535536077,-0.3907233928128271
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.8,9.102807182931162,8.25781832451033,-0.844988858420832
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.8,7.766391402071852,8.720495162152043,0.9541037600801907
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.8,7.609847046755982,7.6734599210823795,0.06361287432639795
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.8,9.617117989545635,9.72010754221655,0.10298955267091436
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.8,8.796943894911925,7.788573889280041,-1.0083700056318836
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.8,9.312593753098868,9.593390819228182,0.2807970661293133
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.8,9.910278113504516,8.482935149934724,-1.4273429635697923
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.8,8.38054626644646,9.010007617883046,0.6294613514365857
