dataset,sample,n_clusters,domain,n_spots,pct_Tumor,pct_Stroma,pct_Interface,category
visium/ju_2024,CPS_OV34RtOV1,5,4,428,0.46728971962616817,94.62616822429906,4.906542056074766,Stroma-pure
visium/ju_2024,CPS_OV5LtOV4,5,0,956,33.47280334728033,28.556485355648537,37.970711297071134,Mixed
visium/ju_2024,CPS_OV5LtOV4,5,1,952,28.57142857142857,27.73109243697479,43.69747899159664,Interface-dominant
visium/ju_2024,CPS_OV5LtOV4,5,2,696,71.26436781609196,5.316091954022988,23.419540229885058,Tumor-Interface
visium/ju_2024,CPS_OV5LtOV4,5,3,670,72.53731343283583,4.029850746268656,23.432835820895523,Tumor-Interface
visium/ju_2024,CPS_OV5LtOV4,5,4,311,68.16720257234726,15.755627009646304,16.077170418006432,Tumor-Interface
visium/ju_2024,CPS_OV71_1,5,0,533,83.30206378986867,2.8142589118198873,13.883677298311445,Tumor-Interface
visium/ju_2024,CPS_OV71_1,5,1,532,5.263157894736842,66.9172932330827,27.819548872180448,Stroma-Interface
visium/ju_2024,CPS_OV71_1,5,2,372,76.34408602150538,6.182795698924731,17.473118279569892,Tumor-Interface
visium/ju_2024,CPS_OV71_1,5,3,349,39.541547277936964,25.787965616045845,34.67048710601719,Mixed
visium/ju_2024,CPS_OV71_1,5,4,374,5.88235294117647,71.12299465240642,22.994652406417114,Stroma-Interface
