domain,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil,Unidentifiable,dataset,sample
4,0.2455483699503897,0.081289347101026,0.0637610760160781,0.0666688555078723,0.0041816051991224,0.0118217714169556,0.0001707653513742,0.0003847508886394,0.0054013986398213,0.0242828691245096,0.2339763232808419,0.001074362735361,0.0157620148680021,0.2456764899200058,visium/yamamoto_2025,Pt1-2
0,0.7314678733031674,0.0542474182343645,0.0262334008236423,0.0043498130955733,0.0043193237134331,0.0044234582292543,0.0017084584646398,0.0009617488037782,0.0020587859102942,0.0050443103929876,0.0746871366787246,0.0041554858695607,0.0005893824299356,0.0857541880506435,visium/yamamoto_2025,Pt1-3
1,0.1676961382843735,0.2119108364330351,0.0318635092195692,0.0021512354751292,0.0109958982766043,0.0113120533635205,0.0042511622166602,0.0012470387644151,0.0009502806632838,0.0091652968738264,0.3993073392755535,0.0069924460659756,0.0001565859483361,0.1420001791397165,visium/yamamoto_2025,Pt1-3
2,0.5406851971557853,0.0713783567676264,0.0701934651563255,0.0122349151933923,0.0076279373463183,0.004828193108509,0.0016636876460517,0.0008138195948673,0.0018262537834262,0.0106049996672934,0.1027555097503361,0.0150148615472609,0.0003256934731155,0.1600471098096914,visium/yamamoto_2025,Pt1-3
3,0.6977990598778719,0.0342846305380922,0.058696720743282,0.0086775217963618,0.0067487674567278,0.0031738067084186,0.0013401117514026,0.0006561731130867,0.0014411475507476,0.0073346231252374,0.0500622165659622,0.0140534609923155,0.000843719803345,0.1148880723396074,visium/yamamoto_2025,Pt1-3
4,0.8187988482106131,0.0761950708825328,0.0175365308453424,0.0012850625173398,0.001442004158208,0.004165942202391,0.000760392076776,0.0003560751553482,0.0006885372571037,0.0023562202012968,0.0291981853074087,0.0052579288121353,0.0005677571974285,0.041394536085166,visium/yamamoto_2025,Pt1-3
0,0.8433321927015863,0.0568714592740324,0.0116584024530502,0.0039586743568512,0.0012883678041079,0.002141011103783,5.942106943267507e-05,5.784282741942343e-05,0.0018672150671883,0.0041900586280162,0.0046780451468767,0.0007265865414513,0.0011393739960267,0.0680327036118504,visium/yamamoto_2025,Pt1-4
1,0.5527295285359801,0.3457862990061121,0.015867725309575,0.001287500274893,0.0010466566005574,0.0009570718195735,2.072849957372331e-05,3.224887305538465e-05,0.0009648715142283,0.0052431576760371,0.0042191615161496,0.0003302172025432,0.0004059077392515,0.0711089750602609,visium/yamamoto_2025,Pt1-4
2,0.1568091161445333,0.7456589750190002,0.0202714420453624,0.00042400221368,0.0012199982173557,0.0010088087044768,3.0963392779051906e-05,0.000102485847832,0.0011082781225041,0.0058294866917094,0.0106336884320341,0.0006176873612089,0.000306561341981,0.0559785064655422,visium/yamamoto_2025,Pt1-4
3,0.1919027106992124,0.4700814365441747,0.0323526757808908,0.0061007661948022,0.0059613155206665,0.003036897175695,3.273715833533427e-05,0.0001193898875986,0.0035137346877223,0.0216415059635156,0.0074095426999072,0.0006138562719344,0.001272142498911,0.2559612889166331,visium/yamamoto_2025,Pt1-4
4,0.4852918043102091,0.442761285419802,0.0069876995810421,0.000998977195548,0.00159353835207,0.0023372013009915,4.8126193009971896e-05,0.0001018449248169,0.0020019731735169,0.0034518491983542,0.0147861572839183,0.0003062769973808,0.0003071737788996,0.0390262204955679,visium/yamamoto_2025,Pt1-4
0,0.4821276964394005,0.102105847674315,0.0482028455955921,0.0182410363705607,0.0007728196408602,0.0044399247318064,9.85859453587775e-05,0.0002907259609345,0.0080111615620387,0.0373487298494863,0.0328386305900356,0.0012450387609079,0.0016924079626332,0.262584590932876,visium/yamamoto_2025,Pt2-1
1,0.8616154539085177,0.0526051158004893,0.0052579522125223,0.0040614257517271,0.000245313331897,0.0009208292421119,0.0001322293169719,0.0001658239461791,0.0018175512953429,0.0062856425638949,0.0068849759454706,0.0003972980703553,0.0004084785114685,0.0592039974816916,visium/yamamoto_2025,Pt2-1
2,0.3570446735395189,0.3621731147916649,0.0225729277021159,0.0096028564247422,0.0020072291580798,0.0016611670140586,6.429522599467163e-05,0.0003515507860267,0.0014887344393972,0.0134589924755892,0.0354899024793399,0.0002783739177384,0.0004024340126206,0.1934037480331122,visium/yamamoto_2025,Pt2-1
3,0.5156965371398361,0.3102272804424739,0.0128602539700795,0.001077095715855,0.0010317917891938,0.0051227269783291,0.0013247965317241,0.0002863401346005,0.0011858391983909,0.0064195984486269,0.0924152675562728,0.0003988608703006,0.0019141408569108,0.0500395985725335,visium/yamamoto_2025,Pt2-1
4,0.14254536685356,0.6779683517039373,0.0242531342934123,0.0121177143112107,0.0018340546379096,0.0012881936368537,0.0001259326452178,0.0003856517397562,0.0009605899992676,0.0091601244244669,0.0530099517523122,0.0001599313807436,0.0002064539763198,0.0759845486450316,visium/yamamoto_2025,Pt2-1
0,0.6187373766153182,0.0379829130173397,0.0684222046863589,0.0216068600676984,0.001525097829501,0.0011848590261841,9.49096628374468e-06,6.029349299829771e-05,0.0053703705533634,0.0141643153332842,0.0141334751530652,0.006533777974253,0.0017227895001029,0.2085464248012861,visium/yamamoto_2025,Pt2-2
1,0.683142938334754,0.1514459957627688,0.0256899913138044,0.009271441029387,0.0006572839588336,0.0019346344018383,9.428940100565964e-06,0.0001129224221982,0.0055328532961181,0.0058268672921568,0.0064485910941021,0.0024845055763464,0.0042735775168107,0.1031706631784271,visium/yamamoto_2025,Pt2-2
2,0.3988444966705836,0.261460748158545,0.0494773932092677,0.0151347701911124,0.0021237138776756,0.0008358950422313,4.254163759564817e-06,0.0002451481632065,0.0021493491913033,0.0118614120109759,0.0110146243722678,0.0023718634559869,0.0021607244714763,0.2423157151297156,visium/yamamoto_2025,Pt2-2
3,0.4205320737959711,0.045206068674421,0.1076106573902445,0.0311127986805184,0.0017520808790512,0.0061791852554993,6.460516246965316e-06,4.521610790474503e-05,0.0134153919241317,0.0208551136951027,0.0286331952034005,0.0075382796874263,0.018757496338665,0.2983560654168758,visium/yamamoto_2025,Pt2-2
4,0.4978726233213668,0.2052187615233933,0.0482734071060145,0.0104210464911451,0.0014554535254015,0.0008614106175722,3.90266664542735e-05,0.0001598775885918,0.0015607226095604,0.0139624687936244,0.0061757159502755,0.0024819667315631,0.0017256013068244,0.2097922847406891,visium/yamamoto_2025,Pt2-2
0,0.8583896716282241,0.0162709651132537,0.0216309508090028,0.0046377381454648,0.0005910926956709,0.0054946806677773,0.001047164356747,0.0006997276485526,0.0096886980377924,0.0076919668646641,0.0253796671355053,0.0028076519143642,0.0016668407759194,0.0440046465408864,visium/yamamoto_2025,Pt2-3
1,0.4266798906221983,0.2311054308220277,0.0216732293579216,0.0109599124968006,0.0009328649529384,0.0286910518744157,0.0016060809211804,0.0020625899884629,0.044275614181051,0.0211718172388618,0.0981845793981494,0.0003246728489165,0.0007860489258524,0.1115463037838099,visium/yamamoto_2025,Pt2-3
2,0.488713492389963,0.0545288054374907,0.0653918909264572,0.0166249688742965,0.0001999406684786,0.0263014827130729,0.002818166320256,0.0045547698255846,0.0648780917472473,0.023414716284098,0.0948115234195453,0.0008200249856587,0.0061332834652571,0.1508088696805613,visium/yamamoto_2025,Pt2-3
3,0.4926768906199285,0.0292414632305474,0.1120491231978912,0.011437803774844,0.000595049884713,0.0236887729525357,0.0027232379232336,0.0047205982946699,0.0272502057302044,0.0308089125725767,0.1083031811774605,0.013322457814862,0.0066369278716349,0.1365454066004668,visium/yamamoto_2025,Pt2-3
4,0.4474601222420989,0.0751583689710764,0.0708096800187208,0.0191207383648401,0.0001849868668449,0.013440008842547,0.0008583687123483,0.0054076976731231,0.0599562219339529,0.0229623387530202,0.0849988903952789,0.0003191221471969,0.0125206246859059,0.1868028303930449,visium/yamamoto_2025,Pt2-3
0,0.7915616136148755,0.0495028228511191,0.0219213489066517,0.0071786842712698,0.0027466108901075,0.0021181258266666,4.731295008137888e-05,0.0001900634913693,0.0037009681554954,0.00709612727849,0.0068760906617409,0.0014662228367116,0.0014981971391584,0.104097358494683,visium/yamamoto_2025,Pt2-4
1,0.2519970904178627,0.2427954442880964,0.1471739648408266,0.0136494958886137,0.0054443699702587,0.0015983341883283,0.0001045752141521,0.0002875691753059,0.0107058061435506,0.0238711725448669,0.0235146400766079,0.0174242486614931,0.0007859786868187,0.2606473099032176,visium/yamamoto_2025,Pt2-4
2,0.1196227014996555,0.4816884893126837,0.0940617386123462,0.0016096063776348,0.0167274489732342,0.0010846732904886,0.0001927073631855,0.0001812578147568,0.0018424114609909,0.0227557317493728,0.0149247220743197,0.0046911099922428,0.0003281234297261,0.2402892780493614,visium/yamamoto_2025,Pt2-4
3,0.761460844544677,0.0479908787677693,0.0986574283898901,0.0072029877278029,0.0004571328342888,0.0003609623584642,9.225958134962444e-05,0.0002024242847349,0.0035506406695925,0.0027835301128689,0.0089419486144491,0.0301205366065312,0.0008322478071579,0.0373466322458774,visium/yamamoto_2025,Pt2-4
4,0.5319361277445109,0.1796050250505165,0.0450150758487413,0.0067235563893924,0.0068264228587821,0.0016347856019626,8.336745303785547e-05,0.0002052776111747,0.004924047808432,0.0130171220524046,0.0116369746745914,0.0059392618670345,0.0004052894264876,0.1920477227557879,visium/yamamoto_2025,Pt2-4
