domain,mean,std,median,count,dataset,sample
5,-0.2817369564991469,0.9364424486762138,-0.291798356949847,407.0,visium/ju_2024,CPS_OV24RTOV4
6,0.5671851796746531,1.2344277534526351,0.5859278134277341,335.0,visium/ju_2024,CPS_OV24RTOV4
7,-0.5365202352615869,0.8767799251175904,-0.5753489300024878,427.0,visium/ju_2024,CPS_OV24RTOV4
8,1.28299625514324,0.7365057220306497,1.2281113967081718,42.0,visium/ju_2024,CPS_OV24RTOV4
0,0.249597760479056,0.8375514262596918,0.2649635033904762,683.0,visium/ju_2024,CPS_OV34RtOV1
1,0.3595453558545178,1.09651044053675,0.3809301775318507,481.0,visium/ju_2024,CPS_OV34RtOV1
2,-0.3377088599673207,0.8549452925737674,-0.3977452032126034,444.0,visium/ju_2024,CPS_OV34RtOV1
3,-0.0965574858336664,0.8524842797800354,-0.1399846113402138,406.0,visium/ju_2024,CPS_OV34RtOV1
4,-0.0489877162466043,1.060569033615952,-0.0709594447386103,419.0,visium/ju_2024,CPS_OV34RtOV1
5,0.2562002650680154,0.9810397572067532,0.246239649864781,416.0,visium/ju_2024,CPS_OV34RtOV1
6,-0.0586979586905491,1.1667286873626397,-0.1168369425229293,340.0,visium/ju_2024,CPS_OV34RtOV1
7,-0.6005391119501222,0.8428511450817847,-0.6144038667476,283.0,visium/ju_2024,CPS_OV34RtOV1
8,0.0894569862309912,1.0956111565544722,0.2152004855299173,43.0,visium/ju_2024,CPS_OV34RtOV1
0,-0.2416613347537475,1.0421283968749913,-0.1677970216471884,732.0,visium/ju_2024,CPS_OV5LtOV4
1,-0.2679646160744428,0.9063867115054036,-0.270828905931806,650.0,visium/ju_2024,CPS_OV5LtOV4
2,0.3081597329799894,0.9644628437326928,0.3069916043219424,537.0,visium/ju_2024,CPS_OV5LtOV4
3,0.4949082198243577,1.0570649535834848,0.4225402330914665,417.0,visium/ju_2024,CPS_OV5LtOV4
4,-0.3589238171284183,0.9428163542197916,-0.3019523878724289,415.0,visium/ju_2024,CPS_OV5LtOV4
5,-0.1303477189320405,0.9606172085153688,-0.1479732481103044,472.0,visium/ju_2024,CPS_OV5LtOV4
6,0.2827053262782577,0.9097687690129572,0.2362672245687146,185.0,visium/ju_2024,CPS_OV5LtOV4
7,0.3981266669994928,0.9671294188781456,0.1781713013257114,18.0,visium/ju_2024,CPS_OV5LtOV4
8,0.8219458855353815,0.9665790305713368,0.8805010677803237,159.0,visium/ju_2024,CPS_OV5LtOV4
0,-0.2365990593131609,0.9633951305973194,-0.275812366689777,403.0,visium/ju_2024,CPS_OV71_1
1,-0.2460137259472059,0.9457246325592018,-0.1942550128205339,279.0,visium/ju_2024,CPS_OV71_1
2,0.174853092952402,0.8770932372562381,0.21931130879632,226.0,visium/ju_2024,CPS_OV71_1
3,0.0511803822433913,0.7298618278713338,0.0261087607127593,389.0,visium/ju_2024,CPS_OV71_1
4,0.0410476721534857,1.0431452438158335,0.0857044065838329,125.0,visium/ju_2024,CPS_OV71_1
5,-0.4721084365142537,0.9853972266138594,-0.5213964306864596,323.0,visium/ju_2024,CPS_OV71_1
6,1.305648290843971,1.5001667850472709,1.244976737006135,93.0,visium/ju_2024,CPS_OV71_1
7,0.0210416544392621,1.0238423137002843,-0.0117195065051605,42.0,visium/ju_2024,CPS_OV71_1
8,0.7052632203755629,0.9067187751393816,0.7596564278948728,280.0,visium/ju_2024,CPS_OV71_1
