review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.9241846923229492,0.0,2844
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.04752384775893006,0.03410653092334333,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.042266932590906685,0.05953628318811594,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.06926508390872724,0.002000951177552386,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,-0.18521639676272839,4.313960089748245e-08,862
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.1337891206909539,8.146369720135668e-05,862
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.09649348657450454,0.004574812796481407,862
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,-0.01940349378656638,0.6573520907470516,525
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.04631319686031903,0.2895051945211458,525
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.17176998307632363,7.62781928411258e-05,525
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,-0.11743600090657323,0.003939488436253924,601
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.06460605524568688,0.11360555761959816,601
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.2188992854824059,5.923634140641831e-08,601
