"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","comparison","direction","database"
"GO:0090288","negative regulation of cellular response to growth factor stimulus","21/384","85/13205",2.50010965872087e-14,5.30758574019035e-12,3.96302212156373e-12,"APLN/NGFR/ADAMTS12/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/SPRY4/CREB3L1/SMAD6/THBS1/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/DLX1/BAMBI/SULF1",21,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0003007","heart morphogenesis","30/384","205/13205",2.32720700843609e-13,4.66605005191435e-11,3.48400581379905e-11,"SNAI1/DLL4/DCHS1/ADAMTS5/GATA6/TGFBR3/ACVRL1/HEG1/NOG/ADAMTS1/FZD1/DKK1/TNNC1/S1PR1/SMAD6/FLRT2/TGFB2/COL11A1/WNT5A/BMP5/TPM1/TBX2/BMP4/ACTC1/MSX2/BMP2/DLC1/TEAD2/ALPK2/CCN1",30,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0061448","connective tissue development","31/384","227/13205",6.12437723912133e-13,1.16330933978889e-10,8.6860973585322e-11,"SNAI1/PDGFRB/SOX6/COMP/ADAMTS7/PTH1R/ADAMTS12/ACVRL1/MAF/NOG/COL11A2/FGFR1/CCN2/RUNX2/COL11A1/WNT5A/TGFBI/BGN/BMP5/ECM1/WNT7A/BMP4/ZEB1/ARID5B/MSX2/BMP2/MATN3/SULF1/COL3A1/COL1A1/CCN1",31,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0007507","heart development","45/384","471/13205",1.62282199913415e-12,2.92838229743757e-10,2.18653911462285e-10,"APLN/SNAI1/PDGFRB/DLL4/SOX6/DCHS1/ADAMTS5/GATA6/TGFBR3/ACVRL1/HEG1/CACNA1G/MYLK3/NOG/FBN1/ADAMTS1/FZD1/ADAMTS9/DKK1/TNNC1/S1PR1/FGFR1/SMAD6/HCN4/OXTR/FZD7/FLRT2/CDH11/PDGFRA/TGFB2/COL11A1/WNT5A/BMP5/TPM1/TBX2/BMP4/RAMP2/ACTC1/MSX2/BMP2/DLC1/TEAD2/ALPK2/COL3A1/CCN1",45,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0048598","embryonic morphogenesis","45/384","487/13205",5.16599639553753e-12,8.68171757081538e-10,6.48238963447737e-10,"APLN/SNAI1/DLL4/WNT6/FOXF2/GATA6/DSCAML1/ATOH8/NOG/FBN1/SFRP1/DKK1/COL12A1/FBN2/MAFB/FGFR1/TBX4/HOXA1/FZD7/PDGFRA/NR4A3/TGFB2/RUNX2/COL11A1/FOXE1/GREM2/RBPMS2/WNT5A/HOXB9/COL8A1/BMP5/TBX2/WNT7A/BMP4/ZEB1/HOXA7/FOXL2/COL4A2/MSX2/MFAP5/DLC1/TEAD2/PHLDB2/SULF1/CCN1",45,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0048738","cardiac muscle tissue development","27/384","187/13205",5.29226341252254e-12,8.68171757081538e-10,6.48238963447737e-10,"PDGFRB/DLL4/SOX6/GATA6/TGFBR3/HEG1/CACNA1G/MYLK3/NOG/ADAMTS9/DKK1/TNNC1/S1PR1/FGFR1/HCN4/FZD7/PDGFRA/TGFB2/COL11A1/BMP5/TPM1/TBX2/BMP4/ACTC1/MSX2/BMP2/ALPK2",27,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0002062","chondrocyte differentiation","19/384","92/13205",1.35457258204921e-11,2.12550106461548e-09,1.58705071397986e-09,"SOX6/COMP/ADAMTS7/PTH1R/ADAMTS12/ACVRL1/MAF/FGFR1/CCN2/RUNX2/COL11A1/TGFBI/ECM1/WNT7A/BMP4/MSX2/BMP2/SULF1/COL3A1",19,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0071774","response to fibroblast growth factor","19/384","94/13205",2.02291468013457e-11,3.04195795025236e-09,2.27134279874759e-09,"APLN/DLL4/NGFR/NOG/HHIP/SFRP1/KCNC1/SPRY4/CREB3L1/FGFR1/THBS1/FLRT2/CCN2/RUNX2/WNT5A/TBX2/FGF1/SULF1/COL1A1",19,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0002009","morphogenesis of an epithelium","39/384","399/13205",2.78377242579224e-11,4.01865387387368e-09,3.00061364632764e-09,"SNAI1/DLL4/NGFR/WNT6/FOXF2/DCHS1/FST/ADAMTS12/ACVRL1/HS3ST3B1/NOG/HHIP/FIGNL2/SFRP1/TGM3/FGFR1/TBX4/TGFB2/FOXE1/WNT5A/BMP5/TBX2/WNT7A/BMP4/FOXQ1/DLX3/FGF1/MSX2/BMP2/DLC1/COL4A1/AJAP1/PDPN/RHOB/TEAD2/PHLDB2/SULF1/TGM2/CCN1",39,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0030335","positive regulation of cell migration","39/384","408/13205",5.4739803774601e-11,7.59830583932828e-09,5.67343715234731e-09,"SNAI1/CASS4/PDGFRB/ROR2/TGFBR3/LGR6/DDR2/ADRA2A/EDN2/PLVAP/ATOH8/ADAMTS1/ICAM1/TLR4/SYDE1/S1PR1/FGFR1/GPNMB/JAM2/THBS1/PDGFRA/NR4A3/TGFB2/AQP1/TNFSF18/WNT5A/DAB2/WNT7A/BMP4/SERPINE1/FGF1/F2R/BMP2/IL1R1/SEMA7A/PDPN/RHOB/COL1A1/CCN1",39,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0044344","cellular response to fibroblast growth factor stimulus","18/384","89/13205",6.82780631432126e-11,9.12650110680942e-09,6.81449675035573e-09,"APLN/DLL4/NGFR/NOG/HHIP/SFRP1/SPRY4/CREB3L1/FGFR1/THBS1/FLRT2/CCN2/RUNX2/WNT5A/TBX2/FGF1/SULF1/COL1A1",18,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
