source_group,source_label,target_class,target_variable,target_label,hallmark_group,n_samples,n_positive,n_negative,corr_mean,corr_median,fisher_z_mean,fisher_z_median,corr_from_mean_fisher_z,corr_from_median_fisher_z,p_cross_sample_fisher_t,p_cross_sample_wilcoxon,q_cross_sample_class_fisher_t,q_cross_sample_class_wilcoxon,sig_cross_sample_class,sig_marker_cross_sample_class,cross_sample_bh_scope
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,IL2_STAT5_SIGNALING,IL2 STAT5 SIGNALING,Immune Response & Inflammation,23,15,8,0.005875596114384796,0.0169112569431624,0.005947326491689103,0.016912869373426287,0.005947256372329193,0.0169112569431624,0.8830599940618893,0.776785135269165,0.956380759174314,0.8415172298749288,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,IL6_JAK_STAT3_SIGNALING,IL6 JAK STAT3 SIGNALING,Immune Response & Inflammation,23,13,10,-0.0375087017692216,0.002866022420326,-0.04053125607897321,0.0028660302676148013,-0.040509075971338335,0.002866022420326,0.38644854395611716,0.6220676898956299,0.5582034523810582,0.8086879968643188,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,INFLAMMATORY_RESPONSE,INFLAMMATORY RESPONSE,Immune Response & Inflammation,23,12,11,-0.010312657665987683,0.0050192600215585,-0.011711197584656096,0.005019302172219972,-0.011710662208722413,0.0050192600215585,0.8118572320557785,0.9643125534057617,0.956380759174314,0.9643125534057617,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,INTERFERON_ALPHA_RESPONSE,INTERFERON ALPHA RESPONSE,Immune Response & Inflammation,23,14,9,0.034739305029746766,0.0456704163887729,0.038310004796129817,0.04570220910521163,0.03829127381687404,0.0456704163887729,0.37366272838551484,0.481952428817749,0.5582034523810582,0.6961535082923042,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,INTERFERON_GAMMA_RESPONSE,INTERFERON GAMMA RESPONSE,Immune Response & Inflammation,23,12,11,0.02113879023177847,0.0410954544935897,0.02246824834380986,0.04111861246367048,0.022464468283714144,0.0410954544935897,0.5460085269134294,0.7313888072967529,0.738159105039247,0.8415172298749288,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,KRAS_SIGNALING_DN,KRAS SIGNALING DN,Signaling & Development,23,6,17,-0.08877818903035722,-0.0526329095598829,-0.09238248378052887,-0.05268159213766721,-0.09212056439995739,-0.0526329095598829,0.014151808350314338,0.0074520111083984375,0.06231839265033171,0.04151834760393415,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,KRAS_SIGNALING_UP,KRAS SIGNALING UP,Signaling & Development,23,11,12,-0.023162661033142674,-0.0132853797287942,-0.023340721052036256,-0.013286161440575189,-0.02333648338411098,-0.0132853797287942,0.5488875396445683,0.5202305316925049,0.738159105039247,0.6996203702071617,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,MTORC1_SIGNALING,MTORC1 SIGNALING,Signaling & Development,23,19,4,0.10711129907807457,0.1029601295970643,0.11090163970974413,0.10332628084098745,0.11044919926047705,0.1029601295970643,0.03929238483072195,0.013528585433959961,0.1242924134215532,0.06595185399055481,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,MYC_TARGETS_V1,MYC TARGETS V1,Proliferation,23,18,5,0.19485947547603696,0.2204649232272921,0.21246129073534425,0.2241447315965793,0.20932115652313105,0.2204649232272921,0.000770893284058944,0.0009758472442626953,0.007052718054733495,0.009479641914367676,True,**,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,MYC_TARGETS_V2,MYC TARGETS V2,Proliferation,23,16,7,0.11976787716229188,0.1188278128218738,0.1278288834559611,0.11939188427015208,0.12713715347391616,0.11882781282187378,0.014381167534691935,0.02332472801208496,0.06231839265033171,0.09096643924713135,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,NOTCH_SIGNALING,NOTCH SIGNALING,Signaling & Development,23,12,11,0.010885563758786508,0.0133015848418458,0.010711908161905,0.013302369417846936,0.010711498468159119,0.013301584841845801,0.7155687157420201,0.6868791580200195,0.9002316101270575,0.8415172298749288,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,OXIDATIVE_PHOSPHORYLATION,OXIDATIVE PHOSPHORYLATION,Metabolism,23,19,4,0.18613252500105787,0.2173042035333613,0.198141787755698,0.22082495666478053,0.19558884522593398,0.2173042035333613,0.00036295783994141293,0.00040793418884277344,0.007052718054733495,0.007172107696533203,True,**,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,PEROXISOME,PEROXISOME,Other Biological States,23,20,3,0.11064021716006174,0.0855336517105107,0.11329096252469005,0.08574316036649078,0.11280874749315672,0.0855336517105107,0.0006071551689085734,0.0005517005920410156,0.007052718054733495,0.007172107696533203,True,**,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,PI3K_AKT_MTOR_SIGNALING,PI3K AKT MTOR SIGNALING,Signaling & Development,23,17,6,0.08688194811889562,0.1220860507214458,0.0892050278924868,0.12269809800639529,0.0889691611945198,0.1220860507214458,0.034777617644614026,0.030086994171142578,0.12330246255817699,0.09778273105621338,False,,source_group__target_class
